CMDLINE /opt/homebrew/Caskroom/miniforge/base/bin/python3.9 train.py
MEM 0.203125 1724702671.4499
MEM 36.531250 1724702671.5551
MEM 59.906250 1724702671.6572
MEM 80.125000 1724702671.7605
MEM 82.125000 1724702671.8704
MEM 84.937500 1724702671.9755
MEM 126.828125 1724702672.0806
MEM 164.187500 1724702672.1857
MEM 175.953125 1724702672.2908
MEM 186.390625 1724702672.3958
MEM 197.609375 1724702672.5010
MEM 207.187500 1724702672.6061
MEM 220.171875 1724702672.7079
MEM 224.937500 1724702672.8131
MEM 230.593750 1724702672.9181
MEM 233.437500 1724702673.0233
MEM 233.437500 1724702673.1283
MEM 233.437500 1724702673.2335
MEM 252.109375 1724702673.3386
MEM 306.453125 1724702673.4429
MEM 421.062500 1724702673.5459
MEM 579.968750 1724702673.6479
MEM 744.656250 1724702673.7530
MEM 795.734375 1724702673.8581
MEM 795.734375 1724702673.9613
MEM 795.734375 1724702674.0664
MEM 795.734375 1724702674.1715
MEM 1040.718750 1724702674.2768
MEM 1040.718750 1724702674.3820
MEM 1040.718750 1724702674.4873
MEM 1040.718750 1724702674.5925
MEM 1040.718750 1724702674.6965
MEM 1041.093750 1724702674.8004
MEM 1041.109375 1724702674.9059
MEM 1041.109375 1724702675.0111
MEM 1041.109375 1724702675.1163
MEM 636.953125 1724702675.2214
MEM 791.187500 1724702675.3265
MEM 951.015625 1724702675.4317
MEM 1042.156250 1724702675.5368
MEM 1042.156250 1724702675.6419
MEM 1042.156250 1724702675.7470
MEM 1042.156250 1724702675.8521
MEM 1286.312500 1724702675.9573
MEM 1286.312500 1724702676.0625
MEM 1286.312500 1724702676.1677
MEM 1286.312500 1724702676.2729
MEM 1286.312500 1724702676.3781
MEM 1286.343750 1724702676.4819
MEM 1286.359375 1724702676.5895
MEM 1286.359375 1724702676.6935
MEM 1286.359375 1724702676.7989
MEM 799.046875 1724702676.9040
MEM 319.156250 1724702677.0073
MEM 338.796875 1724702677.1124
MEM 350.000000 1724702677.2175
MEM 757.000000 1724702677.3227
MEM 4214.093750 1724702677.4280
MEM 7484.546875 1724702677.5288
MEM 8166.687500 1724702677.6323
MEM 8166.687500 1724702677.7350
MEM 8166.687500 1724702677.8401
MEM 8166.687500 1724702677.9414
MEM 8061.593750 1724702678.0428
MEM 7996.937500 1724702678.1437
MEM 7996.937500 1724702678.2488
MEM 7996.937500 1724702678.3540
MEM 7994.875000 1724702678.4591
MEM 7995.109375 1724702678.5644
MEM 208.250000 1724702678.6695
MEM 208.250000 1724702678.7746
MEM 208.250000 1724702678.8798
MEM 233.140625 1724702678.9850
MEM 277.718750 1724702679.0901
MEM 290.484375 1724702679.1915
MEM 300.125000 1724702679.2967
MEM 307.859375 1724702679.4018
MEM 307.875000 1724702679.5069
MEM 308.171875 1724702679.6120
MEM 315.843750 1724702679.7171
MEM 319.687500 1724702679.8182
MEM 319.687500 1724702679.9234
MEM 319.765625 1724702680.0279
MEM 319.796875 1724702680.1284
MEM 350.796875 1724702680.2336
MEM 350.796875 1724702680.3375
MEM 350.812500 1724702680.4427
MEM 350.843750 1724702680.5478
MEM 350.859375 1724702680.6529
MEM 350.859375 1724702680.7580
MEM 350.859375 1724702680.8631
MEM 350.859375 1724702680.9683
MEM 354.703125 1724702681.0707
MEM 354.703125 1724702681.1758
MEM 354.734375 1724702681.2810
MEM 354.734375 1724702681.3861
MEM 354.734375 1724702681.4912
MEM 354.750000 1724702681.5914
MEM 358.640625 1724702681.6966
MEM 358.640625 1724702681.8017
MEM 359.656250 1724702681.9068
MEM 359.656250 1724702682.0119
MEM 359.656250 1724702682.1172
MEM 359.656250 1724702682.2223
MEM 359.656250 1724702682.3274
MEM 359.656250 1724702682.4325
MEM 359.656250 1724702682.5376
MEM 359.656250 1724702682.6427
MEM 359.656250 1724702682.7478
MEM 359.656250 1724702682.8529
MEM 359.671875 1724702682.9580
MEM 359.671875 1724702683.0631
MEM 359.687500 1724702683.1682
MEM 363.515625 1724702683.2733
MEM 363.515625 1724702683.3784
MEM 363.531250 1724702683.4836
MEM 363.531250 1724702683.5887
MEM 363.546875 1724702683.6914
MEM 363.546875 1724702683.7965
MEM 363.546875 1724702683.9016
MEM 363.546875 1724702684.0067
MEM 363.562500 1724702684.1081
MEM 363.562500 1724702684.2132
MEM 363.562500 1724702684.3183
MEM 363.562500 1724702684.4234
MEM 363.593750 1724702684.5285
MEM 363.609375 1724702684.6327
MEM 363.625000 1724702684.7379
MEM 363.640625 1724702684.8430
MEM 363.656250 1724702684.9481
MEM 363.687500 1724702685.0532
MEM 363.687500 1724702685.1583
MEM 363.687500 1724702685.2635
MEM 363.687500 1724702685.3686
MEM 363.703125 1724702685.4737
MEM 363.703125 1724702685.5788
MEM 363.703125 1724702685.6825
MEM 363.703125 1724702685.7876
MEM 363.750000 1724702685.8928
MEM 363.750000 1724702685.9979
MEM 363.750000 1724702686.1030
MEM 363.750000 1724702686.2081
MEM 363.750000 1724702686.3132
MEM 363.750000 1724702686.4183
MEM 363.750000 1724702686.5235
MEM 363.750000 1724702686.6285
MEM 363.750000 1724702686.7337
MEM 363.765625 1724702686.8387
MEM 363.765625 1724702686.9439
MEM 363.765625 1724702687.0489
MEM 363.781250 1724702687.1541
MEM 363.812500 1724702687.2580
MEM 363.812500 1724702687.3632
MEM 363.812500 1724702687.4683
MEM 363.812500 1724702687.5706
MEM 363.812500 1724702687.6724
MEM 363.828125 1724702687.7775
MEM 363.828125 1724702687.8826
MEM 363.828125 1724702687.9877
MEM 363.828125 1724702688.0928
MEM 363.828125 1724702688.1979
MEM 363.859375 1724702688.3030
MEM 363.859375 1724702688.4081
MEM 363.859375 1724702688.5133
MEM 363.875000 1724702688.6184
MEM 363.875000 1724702688.7235
MEM 363.875000 1724702688.8286
MEM 363.875000 1724702688.9337
MEM 363.875000 1724702689.0389
MEM 363.875000 1724702689.1440
MEM 363.890625 1724702689.2442
MEM 363.890625 1724702689.3493
MEM 363.890625 1724702689.4544
MEM 363.890625 1724702689.5595
MEM 363.921875 1724702689.6646
MEM 363.921875 1724702689.7698
MEM 363.921875 1724702689.8749
MEM 363.921875 1724702689.9800
MEM 363.921875 1724702690.0851
MEM 363.921875 1724702690.1903
MEM 363.937500 1724702690.2954
MEM 363.937500 1724702690.4005
MEM 363.937500 1724702690.5054
MEM 363.937500 1724702690.6082
MEM 363.937500 1724702690.7089
MEM 363.937500 1724702690.8140
MEM 363.953125 1724702690.9191
MEM 363.953125 1724702691.0242
MEM 363.953125 1724702691.1293
MEM 363.953125 1724702691.2344
MEM 363.968750 1724702691.3395
MEM 363.968750 1724702691.4446
MEM 363.968750 1724702691.5497
MEM 363.968750 1724702691.6549
MEM 363.968750 1724702691.7600
MEM 363.968750 1724702691.8651
MEM 363.968750 1724702691.9701
MEM 363.968750 1724702692.0753
MEM 363.984375 1724702692.1804
MEM 364.000000 1724702692.2855
MEM 364.000000 1724702692.3905
MEM 364.000000 1724702692.4957
MEM 364.000000 1724702692.5961
MEM 364.000000 1724702692.7013
MEM 364.015625 1724702692.8064
MEM 364.031250 1724702692.9115
MEM 364.031250 1724702693.0167
MEM 364.031250 1724702693.1218
MEM 364.031250 1724702693.2269
MEM 364.031250 1724702693.3320
MEM 364.046875 1724702693.4372
MEM 364.046875 1724702693.5423
MEM 364.062500 1724702693.6474
MEM 364.062500 1724702693.7525
MEM 364.062500 1724702693.8577
MEM 364.062500 1724702693.9628
MEM 364.062500 1724702694.0679
MEM 364.062500 1724702694.1731
MEM 364.062500 1724702694.2782
MEM 364.062500 1724702694.3833
MEM 364.078125 1724702694.4884
MEM 364.093750 1724702694.5935
MEM 364.093750 1724702694.6986
MEM 364.093750 1724702694.8037
MEM 364.093750 1724702694.9088
MEM 364.093750 1724702695.0139
MEM 364.093750 1724702695.1190
MEM 364.156250 1724702695.2241
MEM 364.156250 1724702695.3292
MEM 364.171875 1724702695.4343
MEM 364.171875 1724702695.5394
MEM 364.171875 1724702695.6445
MEM 364.171875 1724702695.7497
MEM 364.171875 1724702695.8548
MEM 364.171875 1724702695.9599
MEM 364.171875 1724702696.0650
MEM 364.171875 1724702696.1701
MEM 364.171875 1724702696.2752
MEM 364.171875 1724702696.3804
MEM 364.171875 1724702696.4855
MEM 364.171875 1724702696.5906
MEM 364.171875 1724702696.6957
MEM 364.171875 1724702696.8008
MEM 364.203125 1724702696.9059
MEM 364.218750 1724702697.0110
MEM 364.218750 1724702697.1162
MEM 364.218750 1724702697.2213
MEM 364.218750 1724702697.3264
MEM 364.218750 1724702697.4315
MEM 364.234375 1724702697.5366
MEM 364.234375 1724702697.6415
MEM 364.234375 1724702697.7466
MEM 364.234375 1724702697.8518
MEM 364.250000 1724702697.9569
MEM 364.250000 1724702698.0602
MEM 364.250000 1724702698.1654
MEM 364.250000 1724702698.2705
MEM 364.250000 1724702698.3756
MEM 364.250000 1724702698.4808
MEM 364.250000 1724702698.5859
MEM 364.250000 1724702698.6910
MEM 364.250000 1724702698.7961
MEM 364.250000 1724702698.9012
MEM 364.250000 1724702699.0063
MEM 364.250000 1724702699.1114
MEM 364.250000 1724702699.2165
MEM 364.265625 1724702699.3216
MEM 364.281250 1724702699.4267
MEM 364.312500 1724702699.5318
MEM 364.312500 1724702699.6322
MEM 364.312500 1724702699.7373
MEM 364.312500 1724702699.8425
MEM 364.312500 1724702699.9476
MEM 364.312500 1724702700.0527
MEM 364.312500 1724702700.1573
MEM 364.312500 1724702700.2624
MEM 364.312500 1724702700.3675
MEM 364.312500 1724702700.4726
MEM 364.312500 1724702700.5749
MEM 364.312500 1724702700.6800
MEM 364.312500 1724702700.7851
MEM 364.312500 1724702700.8897
MEM 364.312500 1724702700.9949
MEM 364.328125 1724702701.0962
MEM 364.328125 1724702701.2014
MEM 364.328125 1724702701.3065
MEM 364.343750 1724702701.4116
MEM 364.343750 1724702701.5167
MEM 364.343750 1724702701.6219
MEM 364.343750 1724702701.7270
MEM 364.359375 1724702701.8321
MEM 364.359375 1724702701.9372
MEM 364.375000 1724702702.0423
MEM 364.375000 1724702702.1474
MEM 364.375000 1724702702.2525
MEM 364.375000 1724702702.3577
MEM 364.375000 1724702702.4628
MEM 364.375000 1724702702.5679
MEM 364.375000 1724702702.6730
MEM 364.375000 1724702702.7749
MEM 364.375000 1724702702.8768
MEM 364.375000 1724702702.9819
MEM 364.375000 1724702703.0870
MEM 364.375000 1724702703.1921
MEM 364.375000 1724702703.2973
MEM 364.375000 1724702703.4024
MEM 364.375000 1724702703.5076
MEM 364.375000 1724702703.6127
MEM 364.390625 1724702703.7178
MEM 364.390625 1724702703.8229
MEM 364.390625 1724702703.9280
MEM 364.421875 1724702704.0321
MEM 364.421875 1724702704.1364
MEM 364.421875 1724702704.2415
MEM 364.421875 1724702704.3466
MEM 364.421875 1724702704.4517
MEM 364.421875 1724702704.5569
MEM 364.421875 1724702704.6620
MEM 364.421875 1724702704.7671
MEM 364.421875 1724702704.8722
MEM 364.437500 1724702704.9773
MEM 364.437500 1724702705.0824
MEM 364.437500 1724702705.1875
MEM 364.437500 1724702705.2926
MEM 364.437500 1724702705.3978
MEM 364.437500 1724702705.5029
MEM 364.453125 1724702705.6080
MEM 364.453125 1724702705.7083
MEM 364.453125 1724702705.8134
MEM 364.453125 1724702705.9185
MEM 364.453125 1724702706.0236
MEM 364.453125 1724702706.1249
MEM 364.453125 1724702706.2301
MEM 364.453125 1724702706.3352
MEM 364.468750 1724702706.4403
MEM 364.468750 1724702706.5454
MEM 364.484375 1724702706.6505
MEM 364.484375 1724702706.7556
MEM 364.484375 1724702706.8607
MEM 364.484375 1724702706.9658
MEM 364.484375 1724702707.0707
MEM 364.484375 1724702707.1758
MEM 364.484375 1724702707.2809
MEM 364.515625 1724702707.3861
MEM 364.515625 1724702707.4912
MEM 364.515625 1724702707.5963
MEM 364.515625 1724702707.7015
MEM 364.515625 1724702707.8066
MEM 364.531250 1724702707.9080
MEM 364.531250 1724702708.0131
MEM 364.531250 1724702708.1182
MEM 364.531250 1724702708.2233
MEM 364.531250 1724702708.3284
MEM 364.531250 1724702708.4322
MEM 364.531250 1724702708.5373
MEM 364.531250 1724702708.6424
MEM 364.531250 1724702708.7475
MEM 364.546875 1724702708.8526
MEM 364.562500 1724702708.9577
MEM 364.562500 1724702709.0629
MEM 364.562500 1724702709.1680
MEM 364.562500 1724702709.2731
MEM 364.562500 1724702709.3782
MEM 364.562500 1724702709.4833
MEM 364.562500 1724702709.5884
MEM 364.562500 1724702709.6936
MEM 364.562500 1724702709.7987
MEM 364.578125 1724702709.9038
MEM 364.578125 1724702710.0090
MEM 364.625000 1724702710.1142
MEM 364.625000 1724702710.2172
MEM 364.625000 1724702710.3178
MEM 364.625000 1724702710.4229
MEM 364.625000 1724702710.5280
MEM 364.625000 1724702710.6331
MEM 364.625000 1724702710.7382
MEM 364.625000 1724702710.8433
MEM 364.625000 1724702710.9485
MEM 364.625000 1724702711.0536
MEM 364.625000 1724702711.1583
MEM 364.625000 1724702711.2634
MEM 364.640625 1724702711.3686
MEM 364.656250 1724702711.4737
MEM 364.656250 1724702711.5748
MEM 364.656250 1724702711.6750
MEM 364.656250 1724702711.7801
MEM 364.671875 1724702711.8823
MEM 364.687500 1724702711.9874
MEM 364.687500 1724702712.0922
MEM 364.687500 1724702712.1974
MEM 364.687500 1724702712.3025
MEM 364.687500 1724702712.4064
MEM 364.687500 1724702712.5115
MEM 364.687500 1724702712.6116
MEM 364.687500 1724702712.7168
MEM 364.687500 1724702712.8218
MEM 364.687500 1724702712.9270
MEM 364.687500 1724702713.0300
MEM 365.718750 1724702713.1351
MEM 365.718750 1724702713.2402
MEM 365.734375 1724702713.3454
MEM 365.734375 1724702713.4505
MEM 365.734375 1724702713.5556
MEM 365.734375 1724702713.6607
MEM 365.734375 1724702713.7658
MEM 369.562500 1724702713.8709
MEM 369.578125 1724702713.9760
MEM 369.593750 1724702714.0811
MEM 369.609375 1724702714.1826
MEM 369.609375 1724702714.2877
MEM 369.609375 1724702714.3928
MEM 369.609375 1724702714.4971
MEM 369.625000 1724702714.6022
MEM 369.625000 1724702714.7073
MEM 369.625000 1724702714.8124
MEM 369.625000 1724702714.9175
MEM 369.625000 1724702715.0226
MEM 369.625000 1724702715.1249
MEM 369.625000 1724702715.2300
MEM 369.625000 1724702715.3352
MEM 369.625000 1724702715.4403
MEM 370.625000 1724702715.5454
MEM 370.625000 1724702715.6505
MEM 370.625000 1724702715.7556
MEM 370.640625 1724702715.8603
MEM 370.640625 1724702715.9655
MEM 370.640625 1724702716.0706
MEM 370.640625 1724702716.1757
MEM 370.640625 1724702716.2809
MEM 370.640625 1724702716.3860
MEM 370.656250 1724702716.4911
MEM 370.671875 1724702716.5962
MEM 370.671875 1724702716.7013
